"Species","variable","value.Barbilla","value.Cola","value.Corona","value.Esp_Inf","value.Esp_Med","value.Esp_Sup","value.Frente","value.Garganta","value.Hombro","value.Nuca","value.Panza","value.Parche_Malar","value.Pecho","value.Peso","Peso_log2"
"Hylophilus flavipes","VIS",11.5586328125,11.03859375,6.40076171875,4.04466796875,6.20466796875,7.4395703125,2.1774453125,14.8322265625,7.67005859375,6.40009765625,18.83515625,3.4969921875,32.9626953125,12,3.58496250072116
"Hylophilus flavipes","NIR",15.1241054613936,19.8621468926554,9.2680790960452,8.14864406779661,11.9870998116761,14.4074199623352,5.31369114877589,17.2237288135593,15.6301694915254,11.0345951035782,22.6043314500942,7.95463276836158,35.9214689265537,12,3.58496250072116
"Icterus nigrogularis","UV",1.69797619047619,4.05244047619048,3.81297619047619,6.52392857142857,3.53077380952381,2.43610714285714,0.436773630952381,0.926702380952381,3.65005952380952,4.86529761904762,8.70833333333333,4.41571428571429,19.5427380952381,40,5.32192809488736
"Icterus nigrogularis","VIS",2.01322265625,6.31431640625,7.1946484375,11.1818359375,9.51373046875,8.67224609375,6.9756935546875,1.311487109375,8.63427734375,6.7719140625,18.49744140625,10.27140625,31.235546875,40,5.32192809488736
"Icterus nigrogularis","NIR",7.62180790960452,17.1477966101695,13.0996233521657,21.2305084745763,22.6177024482109,21.4131826741996,19.7067796610169,5.62898305084746,20.9785310734463,9.52775894538606,30.4022598870056,17.3630885122411,43.1203389830508,40,5.32192809488736
"Legatus leucophaius","UV",11.219880952381,2.96595238095238,0.640086785714286,3.89047619047619,2.43446428571429,4.60565476190476,0.560489226190476,13.2257738095238,0.532059345238095,1.89579166666667,13.1083333333333,7.43672619047619,16.7785714285714,19,4.24792751344359
"Legatus leucophaius","VIS",18.8064453125,4.98427734375,0.88131715234375,4.34421875,2.913560546875,5.53837890625,0.686767505859375,15.6763671875,0.48557013671875,2.524064453125,15.9095703125,13.31298828125,24.98203125,19,4.24792751344359
"Legatus leucophaius","NIR",21.5444444444444,12.053352165725,4.13947269303202,8.40284369114878,6.49926553672316,11.3138041431262,3.46172316384181,17.8811676082863,2.44601129943503,6.72772128060264,20.354802259887,16.9370998116761,28.5084745762712,19,4.24792751344359
"Leiothlypis peregrina ","UV",12.9646428571429,6.26303571428571,2.04427976190476,4.32125,3.6310119047619,5.08517857142857,1.7044880952381,12.215119047619,2.69083333333333,5.09226190476191,21.2895238095238,0.881458333333333,16.6192261904762,11,3.4594316186373
"Leiothlypis peregrina ","VIS",25.2515625,9.2375,3.24287109375,4.2496484375,4.69064453125,6.93716796875,5.7186328125,19.5126953125,3.771830078125,5.19763671875,36.18984375,1.867828125,26.009765625,11,3.4594316186373
"Leiothlypis peregrina ","NIR",30.3517890772128,18.0926553672316,5.44075329566855,5.77225988700565,8.77672316384181,12.8340301318267,9.56668549905838,22.3380414312618,7.58826741996234,6.65774011299435,38.9830508474576,3.17480225988701,30.3572504708098,11,3.4594316186373
"Leptopogon amaurocephalus","UV",8.51595238095238,8.35660714285714,2.34084523809524,6.7352380952381,1.83310178571429,1.37895357142857,1.2760119047619,2.50264857142857,4.31494047619048,3.97113095238095,30.5958333333333,3.25190476190476,9.29553571428571,10,3.32192809488736
"Leptopogon amaurocephalus","VIS",7.1237109375,10.41904296875,3.526080078125,6.7633203125,1.8535447265625,1.7743939453125,2.49841953125,2.4887734375,5.556015625,5.10033203125,31.6896484375,2.690607421875,12.81822265625,10,3.32192809488736
"Leptopogon amaurocephalus","NIR",9.15030131826742,21.2749529190207,8.7339736346516,11.8707344632768,4.09632768361582,4.1490395480226,4.26714877589454,3.77895668549906,12.7524858757062,9.5,36.9058380414313,3.87874011299435,20.4389830508475,10,3.32192809488736
"Manacus manacus","UV",6.86505952380952,6.86767857142857,4.49494047619048,5.46827380952381,4.09714285714286,6.09488095238095,4.30488095238095,17.3939880952381,2.094875,5.27154761904762,18.9821428571429,5.62017857142857,15.048630952381,17,4.08746284125034
"Manacus manacus","VIS",10.054375,9.19810546875,6.20474609375,7.2351953125,5.58427734375,8.3565625,6.04421875,23.0158203125,3.13021484375,6.678515625,26.9681640625,7.33005859375,18.9427734375,17,4.08746284125034
